ID,Empresa,Razao_Social_CNPJ,Categoria,Especialidade,Cidade_Sede,UF,Eixo_Regional,Dist_Louveira_km,Raio_de_Atuacao,Porte_Estimado,Fundacao,Site,Telefone,Endereco,Social,Decisor_Alvo_Cargo,Nome_Decisor,Email,Gatilho_Comercial,Prioridade_ICP,Confianca_do_Dado,Fonte,Status_Prospeccao,Proxima_Acao,Observacoes,Google_Maps,Avaliacao,Qtd_Avaliacoes,Status_Negocio
0023,Base Forte Construção e Reforma,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://jmnconstrucao.com.br/,(11) 98709-6900,"Av. Brasil, 2151 - Jardim Primavera, Itupeva - SP, 13295-152",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=18352467238708774986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0024,BmDmconstrucoes civil,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://bmdmconstrucoes-civil.negocio.site/,(11) 94354-0086,"R. Walter Fregnani, 9 - Rio Das Pedras, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=2784943254288506479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0025,C.L.O construção e reformas - empreiteiro,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 97887-8830,"R. João Gonçalves Lopes, 297 - Parque Das Hortensias, Itupeva - SP, 13295-334",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=1309280558306499197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,21,OPERATIONAL
0026,Checchinato Participações,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://www.checchinato.com.br/,(11) 99944-6898,"Rod. Akzo Nobel, 300 - Conj. Industrial Belville, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13832574726036036873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,6,OPERATIONAL
0027,Consran Engenharia e Construtora Ranciar,,Construtora,Consultoria,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4496-4783,"Av. Brasil, 1400 - Do Pinherinho, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11677957660390512143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0028,Construtora Andrade Silva,,Construtora,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 94707-0747,"Av Brasil ,1756 Complexo Império, sala 1 - Parque das Laranjeiras, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=1340795019585656786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0029,Construtora GR,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://www.construcoesgr.com.br/,(11) 94737-0249,"R. Miguel Madani, 45 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13508422804075142368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,7,OPERATIONAL
0030,Construtora Mattone,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.mattone.net.br/,(11) 99648-1234,"R. Emiliano Cavalcanti - Residencial Colinas De Itupeva, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15353456248862632053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,30,OPERATIONAL
0031,Construtora Sattler,,Construtora,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4593-3285,"Rod. Vice Pref. Hermenegildo Tonoli, 588 - Sobreloja - Santa Júlia, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8154373814036097092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0032,Couto Camargo Construção Civil,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://couto-camargo-construcao-civil.ueniweb.com/?utm_campaign=gmb,(11) 94018-3809,"R. Cabo Sérgio Luis Casaroli, 59 - Parque Das Hortensias, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=7056097583655044921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL
0033,Cândido Associados Construções Pré-Fabricados,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 7880-1501,"Av. Itália, 661 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9664316873287490429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL
0034,DL instalações,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(19) 99122-0677,"R. Adélia de Oliveira - Pacaembu, Itupeva - SP, 13295-478",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=4920376232347580757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,10,OPERATIONAL
0035,Daits Metais,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.daitsmetais.com.br/,(11) 4591-9242,"R. Antonio Polli, 385 A - Jardim Sao Vicente, Itupeva - SP, 13295-128",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=12330869188645542862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,17,OPERATIONAL
0036,FABICONSTRU - ME,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.fabiconstru.wixsite.com/fabiconstru,(11) 97317-6164,"Via Adalberto de La Fuente y Rodrigues, 1620 - Monte Serrat, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=6412149517217868120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,6,OPERATIONAL
0037,Fagner construção,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 95057-9111,"R. Pablo Vicente Gil Cabanãs, 300 - Estância Hidromineral Santa Eliza, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=4178700901698359261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0038,Fênix Construções Incorporações,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4591-3047,"Rua Benedita C Madeira, 1 - Parque Amarylis, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=1763672152278690901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0039,GAV Engenharia Projetos e Construções,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://gavengenharia.com.br/,(11) 99949-6823,"R. Antonio Polli, 384 - Sl 2 e 4 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=4243976767348557637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,1,OPERATIONAL
0040,GSC Sistema Construtivo,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4496-2992,"Rodovia Vice Hermenegildo Tonolli º 469 - Sl 02 - Jardim Ana Luiza, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=14336204809825341226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL
0041,Habitar Engenharia e Construções,,Construtora,Consultoria,Itupeva,SP,Eixo Louveira,22,,,,https://www.facebook.com/habitaritupeva/,(11) 4496-1120,"Rua Rachel Del Acqua Marchi, 161 - sala 2 - Jardim Primavera, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=10025870749022539662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,5,OPERATIONAL
0042,History Center Comercial e Industrial Ltda,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.estacashc.com.br/,(11) 4591-2179,"R. Pref. José Carlos, 2450 - Região Metropolitana de Jundiaí, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13606516307096669112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL
0043,Ipê Construtora,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4591-1989,"R. José Marchi, 162 - Jardim Arco Iris, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=690634955387303043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,OPERATIONAL
0044,J A Itupeva,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://sites.google.com/view/jaitupeva/p%C3%A1gina-inicial,(11) 92002-1762,"Caça Vazamento - R. Antonio Polli, 6 - Sl 6 - Jardim Primavera, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=16137576597136973091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,16,OPERATIONAL
0045,J G C Construtora & Planejamento,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4591-2096,"Av. Emílio Chechinato, 2700 - Parque Residencial Paraiso - Terras Brasilis, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=5705991833824284884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,2,OPERATIONAL
0046,J.J.A CONSTRUÇÕES E REFORMAS,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 94734-8916,"lucia queiroz guimaraes paraiso 382 - Rio Das Pedras, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=5007902996807506980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL
0047,JMK Imóveis e Construções,,Construtora,Imobiliária,Itupeva,SP,Eixo Louveira,22,,,,http://www.jmkimoveis.com.br/,(11) 97509-0441,"R. Rio Solimões, 273 - Jardim do Ribeirão I, Itupeva - SP, 13298-514",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=7046887631920789823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL
0048,Jatobás Engenharia e Construção,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.ojatobas.com.br/,(11) 4496-1319,"Av. Itália, 395 - Sl 06 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=17727555173681358217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,26,OPERATIONAL
0049,Jean café construção,,Construtora,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 99414-4205,"Av. José Tonoli - Jardim Samambaia, Itupeva - SP, 13295-208",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13330304785242475214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
